pub_year,topic_field_display_name,num_publications,cross_collaboration_metric,authors
1919,Earth and Planetary Sciences,3,1.0,34
1919,"Economics, Econometrics and Finance",1,1.0,51
1919,Engineering,6,0.875,162
1919,Environmental Science,1,0.0,0
1919,Health Professions,3,0.6666666666666666,76
1919,Materials Science,1,0.0,0
1919,Mathematics,2,1.0,50
1919,Medicine,24,0.9615384615384616,443
1919,Neuroscience,2,0.0,0
1919,Psychology,2,0.5,37
1919,Social Sciences,18,0.72,357
1920,Agricultural and Biological Sciences,8,1.0,180
1920,Arts and Humanities,14,1.0,541
1920,"Biochemistry, Genetics and Molecular Biology",2,0.5,80
1920,"Business, Management and Accounting",1,0.0,0
1920,Chemistry,4,1.0,44
1920,Computer Science,2,0.5,29
1920,Earth and Planetary Sciences,2,0.5,36
1920,"Economics, Econometrics and Finance",3,1.0,55
1920,Engineering,4,1.0,168
1920,Environmental Science,8,0.6666666666666666,76
1920,Health Professions,10,0.9,84
1920,Materials Science,1,0.0,0
1920,Medicine,18,0.9473684210526315,461
1920,Nursing,1,1.0,9
1920,Physics and Astronomy,1,1.0,67
1920,Psychology,1,1.0,39
1920,Social Sciences,24,0.8214285714285714,380
1921,Agricultural and Biological Sciences,3,1.0,185
1921,Arts and Humanities,19,0.9090909090909091,562
1921,"Biochemistry, Genetics and Molecular Biology",1,1.0,82
1921,"Business, Management and Accounting",2,0.3333333333333333,47
1921,Chemical Engineering,1,1.0,7
1921,Chemistry,1,1.0,46
1921,Computer Science,2,1.0,33
1921,Decision Sciences,1,0.0,0
1921,Earth and Planetary Sciences,1,1.0,37
1921,"Economics, Econometrics and Finance",2,0.25,57
1921,Engineering,6,0.625,174
1921,Environmental Science,4,0.75,79
1921,Health Professions,2,1.0,86
1921,Immunology and Microbiology,1,1.0,9
1921,Materials Science,1,0.0,0
1921,Mathematics,1,1.0,51
1921,Medicine,17,1.0,481
1921,Neuroscience,1,1.0,12
1921,"Pharmacology, Toxicology and Pharmaceutics",1,1.0,1
1921,Physics and Astronomy,4,1.0,71
1921,Psychology,4,1.0,43
1921,Social Sciences,21,0.9047619047619048,420
1922,Agricultural and Biological Sciences,9,0.7272727272727273,193
1922,Arts and Humanities,23,0.8571428571428571,598
1922,"Biochemistry, Genetics and Molecular Biology",4,1.0,91
1922,"Business, Management and Accounting",4,0.75,51
1922,Chemistry,2,1.0,49
1922,Computer Science,1,1.0,35
1922,Dentistry,3,1.0,8
1922,Earth and Planetary Sciences,2,1.0,40
1922,"Economics, Econometrics and Finance",2,1.0,59
1922,Engineering,6,1.0,182
1922,Environmental Science,6,0.5714285714285714,84
1922,Health Professions,6,1.0,94
1922,Immunology and Microbiology,2,0.3333333333333333,10
1922,Materials Science,2,0.0,0
1922,Mathematics,1,1.0,53
