topic_field_display_name,id,pub_year
Neuroscience,6,1952
Earth and Planetary Sciences,6,1927
Earth and Planetary Sciences,6,1925
Mathematics,6,1925
Nursing,6,1951
Earth and Planetary Sciences,6,1943
"Business, Management and Accounting",6,1944
"Biochemistry, Genetics and Molecular Biology",6,1920
Nursing,6,1956
Neuroscience,6,1912
Energy,6,1965
"Pharmacology, Toxicology and Pharmaceutics",6,1962
Environmental Science,6,1907
Chemistry,6,1920
Dentistry,6,1990
"Business, Management and Accounting",6,1946
Computer Science,6,1946
"Pharmacology, Toxicology and Pharmaceutics",6,1948
"Biochemistry, Genetics and Molecular Biology",6,1912
Veterinary,6,1989
Veterinary,6,1979
Physics and Astronomy,6,1911
Physics and Astronomy,6,1942
Materials Science,6,1938
Materials Science,6,1947
"Business, Management and Accounting",6,1995
Immunology and Microbiology,6,1960
"Pharmacology, Toxicology and Pharmaceutics",6,1960
Health Professions,6,1921
Mathematics,6,1924
Mathematics,6,1961
Health Professions,7,1928
Chemistry,7,1928
Psychology,7,1904
Computer Science,7,1904
Health Professions,7,1904
Physics and Astronomy,7,1904
Physics and Astronomy,7,1914
Energy,7,1973
Chemistry,7,1934
Chemical Engineering,7,1957
"Biochemistry, Genetics and Molecular Biology",7,1915
"Economics, Econometrics and Finance",7,1914
Psychology,7,1908
Mathematics,7,1909
Engineering,7,1908
Neuroscience,7,1995
Chemical Engineering,7,1970
Dentistry,7,1970
Mathematics,7,1915
Dentistry,7,1983
Materials Science,7,1929
Computer Science,7,1939
Mathematics,7,1940
Nursing,7,1950
Neuroscience,7,1955
Earth and Planetary Sciences,7,1902
Nursing,7,1968
Engineering,7,1975
Decision Sciences,7,1963
Nursing,7,1944
"Biochemistry, Genetics and Molecular Biology",7,1917
Physics and Astronomy,7,1916
"Biochemistry, Genetics and Molecular Biology",7,1902
"Business, Management and Accounting",7,1902
Chemistry,7,1918
Nursing,7,1982
Materials Science,7,1934
"Pharmacology, Toxicology and Pharmaceutics",7,1959
Immunology and Microbiology,7,1995
Mathematics,7,1951
Immunology and Microbiology,7,1951
Chemical Engineering,7,1961
"Economics, Econometrics and Finance",7,1919
Mathematics,7,1912
Materials Science,7,1930
Materials Science,7,1931
Nursing,7,1948
Neuroscience,7,1900
"Economics, Econometrics and Finance",7,1918
Engineering,7,1980
"Business, Management and Accounting",7,1919
Psychology,7,1926
Decision Sciences,7,1998
Chemistry,7,1936
Computer Science,7,1944
Environmental Science,7,1924
"Economics, Econometrics and Finance",7,1921
Chemistry,7,1921
Nursing,7,1961
Physics and Astronomy,7,1923
Chemical Engineering,7,1960
Neuroscience,7,1998
Nursing,7,1952
Environmental Science,7,1923
Neuroscience,7,1924
Nursing,7,1947
Physics and Astronomy,7,1906
Computer Science,7,1910
Energy,7,1963
Materials Science,7,1910
Neuroscience,7,1947
Mathematics,7,1945
Earth and Planetary Sciences,7,1947
Health Professions,7,1906
Decision Sciences,7,1951
Veterinary,7,1960
Immunology and Microbiology,8,1969
Mathematics,8,1943
Chemistry,8,1943
Engineering,8,1981
"Business, Management and Accounting",8,1920
Environmental Science,8,1919
Mathematics,8,1919
Physics and Astronomy,8,1918
Chemical Engineering,8,1973
Veterinary,8,2001
"Biochemistry, Genetics and Molecular Biology",8,1900
Earth and Planetary Sciences,8,1900
Veterinary,8,1999
Dentistry,8,1994
Chemical Engineering,8,1971
Immunology and Microbiology,8,1934
Neuroscience,8,1935
Energy,8,1959
Health Professions,8,1903
"Biochemistry, Genetics and Molecular Biology",8,1903
Chemical Engineering,8,1991
Neuroscience,8,1950
Materials Science,8,1949
"Economics, Econometrics and Finance",8,1931
Mathematics,8,1931
"Economics, Econometrics and Finance",8,1907
Environmental Science,8,1905
Decision Sciences,8,1948
Veterinary,8,1948
Medicine,8,1953
Chemistry,8,1939
"Pharmacology, Toxicology and Pharmaceutics",8,1967
Decision Sciences,8,1955
Psychology,8,1944
"Pharmacology, Toxicology and Pharmaceutics",8,1966
Physics and Astronomy,8,1915
Mathematics,8,1944
Dentistry,8,1976
Earth and Planetary Sciences,8,1929
Computer Science,8,1941
Materials Science,8,1941
Mathematics,8,1941
"Economics, Econometrics and Finance",8,1908
Veterinary,8,1986
Chemical Engineering,8,1987
Dentistry,8,1987
Neuroscience,8,1930
"Business, Management and Accounting",8,1914
Dentistry,8,1965
Chemistry,8,1912
Physics and Astronomy,8,1909
"Business, Management and Accounting",8,1910
"Biochemistry, Genetics and Molecular Biology",8,1923
Psychology,8,1924
"Biochemistry, Genetics and Molecular Biology",8,1922
Psychology,8,1921
Dentistry,8,1979
Computer Science,8,1942
Decision Sciences,8,1956
Energy,8,1970
Nursing,9,1969
Nursing,9,1960
Physics and Astronomy,9,1951
Neuroscience,9,1951
"Pharmacology, Toxicology and Pharmaceutics",9,1993
"Business, Management and Accounting",9,1998
Veterinary,9,1997
Nursing,9,1959
Physics and Astronomy,9,1921
Chemistry,9,1910
Psychology,9,1923
Decision Sciences,9,1964
Psychology,9,1911
Psychology,9,1922
"Business, Management and Accounting",9,1924
Agricultural and Biological Sciences,9,1921
Earth and Planetary Sciences,9,1922
"Economics, Econometrics and Finance",9,1922
Chemical Engineering,9,1979
Physics and Astronomy,9,1912
"Economics, Econometrics and Finance",9,1941
Chemistry,9,1941
Mathematics,9,1928
Nursing,9,1977
Chemical Engineering,9,1976
Agricultural and Biological Sciences,9,1917
"Economics, Econometrics and Finance",9,1905
Psychology,9,1903
Chemical Engineering,9,1968
Veterinary,9,1966
Energy,9,1966
Decision Sciences,9,1957
Psychology,9,1930
"Economics, Econometrics and Finance",9,1910
