work_id,author_id,countries,topic_field_display_name,pub_year
https://openalex.org/W3029789729,https://openalex.org/A5058645893,['FR'],Social Sciences,2008
https://openalex.org/W4206875537,https://openalex.org/A5053149326,['FR'],Engineering,2006
https://openalex.org/W4206875537,https://openalex.org/A5053149326,['FR'],Materials Science,2006
https://openalex.org/W4286398995,https://openalex.org/A5061314024,['FR'],Veterinary,2020
https://openalex.org/W4286398995,https://openalex.org/A5052491598,['FR'],Veterinary,2020
https://openalex.org/W4286398995,https://openalex.org/A5067576037,['GB'],Veterinary,2020
https://openalex.org/W4290571119,https://openalex.org/A5037963771,['FR'],Physics and Astronomy,2017
https://openalex.org/W4290571119,https://openalex.org/A5037963771,['FR'],Mathematics,2017
https://openalex.org/W4290571119,https://openalex.org/A5037963771,['FR'],Computer Science,2017
https://openalex.org/W4292264831,https://openalex.org/A5002555963,['DZ'],Engineering,2018
https://openalex.org/W4292264831,https://openalex.org/A5068955861,['DZ'],Engineering,2018
https://openalex.org/W4292264831,https://openalex.org/A5018033512,['FR'],Engineering,2018
https://openalex.org/W4292264831,https://openalex.org/A5075967228,['DZ'],Engineering,2018
https://openalex.org/W4292264831,https://openalex.org/A5024005200,['DZ'],Engineering,2018
https://openalex.org/W4292264831,https://openalex.org/A5034698005,['FR'],Engineering,2018
https://openalex.org/W4298330868,https://openalex.org/A5027767808,['FR'],Materials Science,2016
https://openalex.org/W4298330868,https://openalex.org/A5027767808,['FR'],Engineering,2016
https://openalex.org/W4298330868,https://openalex.org/A5059786273,['FR'],Materials Science,2016
https://openalex.org/W4298330868,https://openalex.org/A5059786273,['FR'],Engineering,2016
https://openalex.org/W4298330868,https://openalex.org/A5074024259,['FR'],Materials Science,2016
https://openalex.org/W4298330868,https://openalex.org/A5074024259,['FR'],Engineering,2016
https://openalex.org/W4309975416,https://openalex.org/A5041561845,[],Social Sciences,2022
https://openalex.org/W4391458073,https://openalex.org/A5042397112,[],Social Sciences,2020
https://openalex.org/W4391458073,https://openalex.org/A5042397112,[],Health Professions,2020
https://openalex.org/W1599904622,https://openalex.org/A5063747284,[],Social Sciences,2009
https://openalex.org/W1677860425,https://openalex.org/A5045003210,[],Engineering,1983
https://openalex.org/W1677860425,https://openalex.org/A5087035685,[],Engineering,1983
https://openalex.org/W1677860425,https://openalex.org/A5026676911,[],Engineering,1983
https://openalex.org/W1677860425,https://openalex.org/A5079317796,[],Engineering,1983
https://openalex.org/W1737838124,https://openalex.org/A5034540155,[],Health Professions,2001
https://openalex.org/W1737838124,https://openalex.org/A5034540155,[],Social Sciences,2001
https://openalex.org/W1737838124,https://openalex.org/A5036808479,[],Health Professions,2001
https://openalex.org/W1737838124,https://openalex.org/A5036808479,[],Social Sciences,2001
https://openalex.org/W2262966019,https://openalex.org/A5073045128,['FR'],Social Sciences,2011
https://openalex.org/W2262966019,https://openalex.org/A5073045128,['FR'],Arts and Humanities,2011
https://openalex.org/W2586325688,https://openalex.org/A5021817349,[],Engineering,1998
https://openalex.org/W2586325688,https://openalex.org/A5081011109,['FR'],Engineering,1998
https://openalex.org/W2586325688,https://openalex.org/A5090196393,[],Engineering,1998
https://openalex.org/W2613186550,https://openalex.org/A5049269900,['FR'],Engineering,2013
https://openalex.org/W2613186550,https://openalex.org/A5049269900,['FR'],Computer Science,2013
https://openalex.org/W2613186550,https://openalex.org/A5051164757,['FR'],Engineering,2013
https://openalex.org/W2613186550,https://openalex.org/A5051164757,['FR'],Computer Science,2013
https://openalex.org/W2613186550,https://openalex.org/A5049920724,['FR'],Engineering,2013
https://openalex.org/W2613186550,https://openalex.org/A5049920724,['FR'],Computer Science,2013
https://openalex.org/W2626854520,https://openalex.org/A5056302258,['FR'],Medicine,2011
https://openalex.org/W2739890937,https://openalex.org/A5028844936,[],Computer Science,2008
https://openalex.org/W2739890937,https://openalex.org/A5028844936,[],Arts and Humanities,2008
https://openalex.org/W2741228924,https://openalex.org/A5090120437,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2741228924,https://openalex.org/A5080692352,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2741228924,https://openalex.org/A5066626866,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2741228924,https://openalex.org/A5046477678,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2741228924,https://openalex.org/A5059725040,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2741228924,https://openalex.org/A5019698773,['FR'],"Business, Management and Accounting",2012
https://openalex.org/W2743236302,https://openalex.org/A5069587410,['US'],Social Sciences,2012
https://openalex.org/W2762197278,https://openalex.org/A5081463410,['US'],Health Professions,2010
https://openalex.org/W2784758461,https://openalex.org/A5052114375,['FR'],Arts and Humanities,2005
https://openalex.org/W3044360642,https://openalex.org/A5067243377,['FR'],Engineering,2019
https://openalex.org/W3139078043,https://openalex.org/A5063979931,['DE'],Psychology,2020
https://openalex.org/W3139078043,https://openalex.org/A5063979931,['DE'],Engineering,2020
https://openalex.org/W3139078043,https://openalex.org/A5063979931,['DE'],Health Professions,2020
https://openalex.org/W3139078043,https://openalex.org/A5040893667,['SE'],Psychology,2020
https://openalex.org/W3139078043,https://openalex.org/A5040893667,['SE'],Engineering,2020
https://openalex.org/W3139078043,https://openalex.org/A5040893667,['SE'],Health Professions,2020
https://openalex.org/W3139078043,https://openalex.org/A5044174786,['BE'],Psychology,2020
https://openalex.org/W3139078043,https://openalex.org/A5044174786,['BE'],Engineering,2020
https://openalex.org/W3139078043,https://openalex.org/A5044174786,['BE'],Health Professions,2020
https://openalex.org/W3139078043,https://openalex.org/A5060888510,['DE'],Psychology,2020
https://openalex.org/W3139078043,https://openalex.org/A5060888510,['DE'],Engineering,2020
https://openalex.org/W3139078043,https://openalex.org/A5060888510,['DE'],Health Professions,2020
https://openalex.org/W3172272695,https://openalex.org/A5009508700,['US'],Decision Sciences,2020
https://openalex.org/W4285053842,https://openalex.org/A5090597662,['FR'],Social Sciences,2017
https://openalex.org/W4287898708,https://openalex.org/A5056450169,['FR'],Mathematics,2020
https://openalex.org/W4293406533,https://openalex.org/A5034268215,[],"Biochemistry, Genetics and Molecular Biology",2020
https://openalex.org/W4293406533,https://openalex.org/A5034268215,[],Agricultural and Biological Sciences,2020
https://openalex.org/W4293406533,https://openalex.org/A5062999621,[],"Biochemistry, Genetics and Molecular Biology",2020
https://openalex.org/W4293406533,https://openalex.org/A5062999621,[],Agricultural and Biological Sciences,2020
https://openalex.org/W4293406533,https://openalex.org/A5061859140,[],"Biochemistry, Genetics and Molecular Biology",2020
https://openalex.org/W4293406533,https://openalex.org/A5061859140,[],Agricultural and Biological Sciences,2020
https://openalex.org/W4293406533,https://openalex.org/A5065656130,[],"Biochemistry, Genetics and Molecular Biology",2020
https://openalex.org/W4293406533,https://openalex.org/A5065656130,[],Agricultural and Biological Sciences,2020
