work_id,referenced_work_id
https://openalex.org/W2147314816,https://openalex.org/W2106029391
https://openalex.org/W2147314816,https://openalex.org/W2110151257
https://openalex.org/W2147314816,https://openalex.org/W2111674694
https://openalex.org/W2147314816,https://openalex.org/W2115764422
https://openalex.org/W2147314816,https://openalex.org/W2119659749
https://openalex.org/W2147314816,https://openalex.org/W2120146109
https://openalex.org/W2147314816,https://openalex.org/W2140472442
https://openalex.org/W2147314816,https://openalex.org/W2142932674
https://openalex.org/W2147314816,https://openalex.org/W2145538332
https://openalex.org/W2147314816,https://openalex.org/W2145931832
https://openalex.org/W2147314816,https://openalex.org/W2147486095
https://openalex.org/W2147314816,https://openalex.org/W2156118804
https://openalex.org/W2147314816,https://openalex.org/W2157516934
https://openalex.org/W2147314816,https://openalex.org/W2159925741
https://openalex.org/W2147314816,https://openalex.org/W2167992086
https://openalex.org/W2147314816,https://openalex.org/W2170811673
https://openalex.org/W2147314816,https://openalex.org/W2173767510
https://openalex.org/W2147314816,https://openalex.org/W2187866280
https://openalex.org/W2147314816,https://openalex.org/W2858547974
https://openalex.org/W2147314816,https://openalex.org/W2950034115
https://openalex.org/W2147314816,https://openalex.org/W4233157884
https://openalex.org/W2147314816,https://openalex.org/W4237096485
https://openalex.org/W2147314816,https://openalex.org/W4255480351
https://openalex.org/W2016627268,https://openalex.org/W1975622210
https://openalex.org/W2016627268,https://openalex.org/W1980578028
https://openalex.org/W2016627268,https://openalex.org/W1989760520
https://openalex.org/W2016627268,https://openalex.org/W1991310845
https://openalex.org/W2016627268,https://openalex.org/W2002128845
https://openalex.org/W2016627268,https://openalex.org/W2007132314
https://openalex.org/W2016627268,https://openalex.org/W2007198439
https://openalex.org/W2016627268,https://openalex.org/W2026557021
https://openalex.org/W2016627268,https://openalex.org/W2043670643
https://openalex.org/W2016627268,https://openalex.org/W2046172320
https://openalex.org/W2016627268,https://openalex.org/W2048241725
https://openalex.org/W2016627268,https://openalex.org/W2048512680
https://openalex.org/W2016627268,https://openalex.org/W2050646726
https://openalex.org/W2016627268,https://openalex.org/W2054890799
https://openalex.org/W2016627268,https://openalex.org/W2059831639
https://openalex.org/W2016627268,https://openalex.org/W2069055292
https://openalex.org/W2016627268,https://openalex.org/W2069714065
https://openalex.org/W2016627268,https://openalex.org/W2073175593
https://openalex.org/W2016627268,https://openalex.org/W2078249135
https://openalex.org/W2016627268,https://openalex.org/W2085592894
https://openalex.org/W2016627268,https://openalex.org/W2087324029
https://openalex.org/W2016627268,https://openalex.org/W2090467089
https://openalex.org/W2016627268,https://openalex.org/W2098440313
https://openalex.org/W2016627268,https://openalex.org/W2119586157
https://openalex.org/W2016627268,https://openalex.org/W2120862215
https://openalex.org/W2016627268,https://openalex.org/W2164550955
https://openalex.org/W2016627268,https://openalex.org/W2401507099
https://openalex.org/W2016627268,https://openalex.org/W2406023622
https://openalex.org/W2016627268,https://openalex.org/W2408666791
https://openalex.org/W2016627268,https://openalex.org/W2463163352
https://openalex.org/W2161822684,https://openalex.org/W66128515
https://openalex.org/W2161822684,https://openalex.org/W1492616843
https://openalex.org/W2161822684,https://openalex.org/W1523351973
https://openalex.org/W2161822684,https://openalex.org/W1641205561
https://openalex.org/W2161822684,https://openalex.org/W1966906992
https://openalex.org/W2161822684,https://openalex.org/W1970447725
https://openalex.org/W2161822684,https://openalex.org/W1979081921
https://openalex.org/W2161822684,https://openalex.org/W1985997303
https://openalex.org/W2161822684,https://openalex.org/W1993676101
https://openalex.org/W2161822684,https://openalex.org/W1999249142
https://openalex.org/W2161822684,https://openalex.org/W2004836486
https://openalex.org/W2161822684,https://openalex.org/W2015018275
https://openalex.org/W2161822684,https://openalex.org/W2029849672
https://openalex.org/W2161822684,https://openalex.org/W2034275429
https://openalex.org/W2161822684,https://openalex.org/W2045384407
https://openalex.org/W2161822684,https://openalex.org/W2049235147
https://openalex.org/W2161822684,https://openalex.org/W2055302184
https://openalex.org/W2161822684,https://openalex.org/W2059837847
https://openalex.org/W2161822684,https://openalex.org/W2066243160
https://openalex.org/W2161822684,https://openalex.org/W2090806060
https://openalex.org/W2161822684,https://openalex.org/W2091573927
https://openalex.org/W2161822684,https://openalex.org/W2095579053
https://openalex.org/W2161822684,https://openalex.org/W2137186789
https://openalex.org/W2161822684,https://openalex.org/W2148458329
https://openalex.org/W2161822684,https://openalex.org/W2157292249
https://openalex.org/W2161822684,https://openalex.org/W2175904036
https://openalex.org/W2161822684,https://openalex.org/W2277030622
https://openalex.org/W2161822684,https://openalex.org/W2414039702
https://openalex.org/W2010586739,https://openalex.org/W1572728572
https://openalex.org/W2010586739,https://openalex.org/W1884868043
https://openalex.org/W2010586739,https://openalex.org/W1966497279
https://openalex.org/W2010586739,https://openalex.org/W1967500826
https://openalex.org/W2010586739,https://openalex.org/W2017470279
https://openalex.org/W2010586739,https://openalex.org/W2024504149
https://openalex.org/W2010586739,https://openalex.org/W2049921310
https://openalex.org/W2010586739,https://openalex.org/W2086635185
https://openalex.org/W2010586739,https://openalex.org/W2093404267
https://openalex.org/W2010586739,https://openalex.org/W2314281341
https://openalex.org/W2010586739,https://openalex.org/W2320423775
https://openalex.org/W2010586739,https://openalex.org/W4230572566
https://openalex.org/W2141148322,https://openalex.org/W1989126530
https://openalex.org/W2141148322,https://openalex.org/W1998721446
https://openalex.org/W2141148322,https://openalex.org/W1999423508
https://openalex.org/W2141148322,https://openalex.org/W2014792716
https://openalex.org/W2141148322,https://openalex.org/W2017617234
https://openalex.org/W2141148322,https://openalex.org/W2050698377
https://openalex.org/W2141148322,https://openalex.org/W2056580302
https://openalex.org/W2141148322,https://openalex.org/W2411105823
https://openalex.org/W2021571606,https://openalex.org/W51687518
https://openalex.org/W2021571606,https://openalex.org/W1576773659
https://openalex.org/W2021571606,https://openalex.org/W1968749056
https://openalex.org/W2021571606,https://openalex.org/W1970483666
https://openalex.org/W2021571606,https://openalex.org/W1974212746
https://openalex.org/W2021571606,https://openalex.org/W1980892002
https://openalex.org/W2021571606,https://openalex.org/W1988517647
https://openalex.org/W2021571606,https://openalex.org/W1988939215
https://openalex.org/W2021571606,https://openalex.org/W2001753204
https://openalex.org/W2021571606,https://openalex.org/W2002437744
https://openalex.org/W2021571606,https://openalex.org/W2003306565
https://openalex.org/W2021571606,https://openalex.org/W2004964523
https://openalex.org/W2021571606,https://openalex.org/W2005425959
https://openalex.org/W2021571606,https://openalex.org/W2019293579
https://openalex.org/W2021571606,https://openalex.org/W2021306035
https://openalex.org/W2021571606,https://openalex.org/W2022391061
https://openalex.org/W2021571606,https://openalex.org/W2028385780
https://openalex.org/W2021571606,https://openalex.org/W2031174826
https://openalex.org/W2021571606,https://openalex.org/W2041552493
https://openalex.org/W2021571606,https://openalex.org/W2047730466
https://openalex.org/W2021571606,https://openalex.org/W2048278436
https://openalex.org/W2021571606,https://openalex.org/W2051035731
https://openalex.org/W2021571606,https://openalex.org/W2051381895
https://openalex.org/W2021571606,https://openalex.org/W2054165089
https://openalex.org/W2021571606,https://openalex.org/W2062224686
https://openalex.org/W2021571606,https://openalex.org/W2063330553
https://openalex.org/W2021571606,https://openalex.org/W2065097700
https://openalex.org/W2021571606,https://openalex.org/W2069715553
https://openalex.org/W2021571606,https://openalex.org/W2071465122
https://openalex.org/W2021571606,https://openalex.org/W2073786069
https://openalex.org/W2021571606,https://openalex.org/W2083182472
https://openalex.org/W2021571606,https://openalex.org/W2090306099
https://openalex.org/W2021571606,https://openalex.org/W2094469836
https://openalex.org/W2021571606,https://openalex.org/W2108059110
https://openalex.org/W2021571606,https://openalex.org/W2136471260
https://openalex.org/W2021571606,https://openalex.org/W2150084524
https://openalex.org/W2021571606,https://openalex.org/W2155423089
https://openalex.org/W2021571606,https://openalex.org/W2158065054
https://openalex.org/W2021571606,https://openalex.org/W2169025215
https://openalex.org/W2021571606,https://openalex.org/W2169337864
https://openalex.org/W2021571606,https://openalex.org/W2949413346
https://openalex.org/W2021571606,https://openalex.org/W4245679886
https://openalex.org/W2116789221,https://openalex.org/W1968479888
https://openalex.org/W2116789221,https://openalex.org/W1968630274
https://openalex.org/W2116789221,https://openalex.org/W1968974362
https://openalex.org/W2116789221,https://openalex.org/W1972913154
https://openalex.org/W2116789221,https://openalex.org/W1979788719
https://openalex.org/W2116789221,https://openalex.org/W1979826474
